"";"Pel_CHP1_PubGel1";"Pel_PV1_PubGel1";"Pel_PubGel1_Demel1";"Pel_CHP1_Demel1";"Pel_PV1_Demel1";"Pfuel_PubGfuel1_GaBo1";"Pfuel_PubGfuel1_CHP1";"Pth_GaBo1_TS1";"Pth_CHP1_TS1";"Pth_TS1_Demth1";"Eth_TS1";"Op_CHP1"
"1";0;0;5,799855142;0;0;0;0;0;0;22,42737209;47,1781262121102;0
"2";0;0;6,173619475;0;0;0;0;0;0;22,87533206;24,1848138837343;0
"3";0;0;5,230495073;0;0;0;0;0;0;23,7339383;0,390395631228454;0
"4";0;1,11022302462516e-16;4,551055913;0;0,535855248;27,9165809189799;0;25,1249228270819;0;25,51434218;0;0
"5";0;4,44089209850063e-16;2,70882094;0;2,243893852;29,7691339777778;0;26,79222058;0;26,79222058;0;0
"6";0;0;0,178821002999999;0;5,009025353;33,2119160555556;0;29,89072445;0;29,89072445;0;0
"7";42,800801987;9,000184781;0;7,199198013;0;-7,89491928622334e-15;131,250820317627;-7,105427357601e-15;72,5003281270508;32,54417624;39,9561518870508;1
"8";41,80301874;12,96062875;0;8,19698126;0;0;131,250820317627;0;72,5003281270508;30,89587315;81,4606868820805;1
"9";41,535900638;17,43546415;0;8,464099362;0;3,94745964311167e-15;131,250820317627;3,5527136788005e-15;72,5003281270508;27,29484382;126,462459120169;1
"10";0;10,23702411;0;0;9,39163488;-3,94745964311167e-15;0;-3,5527136788005e-15;0;24,94009719;101,206112090161;0
"11";0;12,300458853;0;0;7,833339927;-3,94745964311167e-15;0;-3,5527136788005e-15;0;21,44819884;79,5048229893903;0
"12";0;10,261665133;0;0;9,270406687;-3,94745964311167e-15;0;-3,5527136788005e-15;0;18,82353263;60,4824693992001;0
"13";0;6,880535649;0;0;9,717284611;0;0;0;0;16,78755308;43,5436653360714;0
"14";0;4,6331699;0;0;10,60484365;0;0;0;0;18,76896714;24,6658067725476;0
"15";0;1,965388424;0;0;8,618492856;0;0;0;0;16,5003817;8,10374228146663;0
"16";0;2,16779493;0;0;7,455580623;8,41404715339377;0;7,5726424380544;0;15,65611936;0;0
"17";0;0;3,578259219;0;5,909580427;20,2003116444444;0;18,18028048;0;18,18028048;0;0
"18";0;8,88178419700125e-16;6,142342454;0;4,892639666;23,8058100444444;0;21,42522904;0;21,42522904;0;0
"19";39,65386752;2,286821482;0;10,34613248;0;0;131,250820317627;0;72,5003281270508;25,70682423;46,7935038970508;1
"20";37,83504758;1,272656214;0;12,16495242;0;0;131,250820317627;0;72,5003281270508;29,33944927;89,8373643264684;1
"21";38,41242281;0,267927624;0;11,58757719;0;0;131,250820317627;0;72,5003281270508;31,42999432;130,683038164919;1
"22";0;0;9,112285935;0;0;0;0;0;0;34,14653973;96,2096940203997;0
"23";0;0;7,475188916;0;0;0;0;0;0;33,01219812;62,9569003864986;0
"24";0;0;6,9177901;0;0;43,4536141081438;0;39,1082526973294;0;32,12771419;69,78;0
