"";"Zeitstempel";"Temperatur";"Bedarf_Waerme";"Day_Ahead_Preis";"Bedarf_Strom";"Erzeugung_PV"
"1";3697;14;13,93487529;40,21;5,540510831;0
"2";3698;13,4;14,48357165;38,31;5,234526863;0
"3";3699;13,7;13,42990453;36,78;4,656155999;0
"4";3700;13,6;13,43476293;36,09;4,882036972;0
"5";3701;13,6;13,69453591;36,05;4,627895625;0
"6";3702;12,8;15,20545001;36,09;4,89953737;0,10276442
"7";3703;13;15,10914221;36,33;4,696435773;0,513822101
"8";3704;12,9;16,32627452;38,38;5,564641414;1,553185053
"9";3705;13,3;18,12525177;42,21;7,683206681;2,76472348
"10";3706;15,3;18,02808376;45,77;8,370686064;3,300180196
"11";3707;16,5;15,63182613;46,52;12,29985692;5,288761871
"12";3708;16,3;15,72813392;43,34;12,22981606;4,460336414
"13";3709;17,4;12,55741576;39,94;10,96488412;6,308293093
"14";3710;17,8;10,37320732;40,86;8,320079211;3,867187392
"15";3711;18,4;9,131783011;36,09;5,839812097;4,317007091
"16";3712;17,3;10,7438633;38,06;9,92172182;2,411358106
"17";3713;15;14,83879221;45,9;11,866288;1,808293219
"18";3714;14,6;16,15709071;51,17;11,13829276;0,719350941
"19";3715;12,9;19,27036829;48,32;14,75219957;0,137019227
"20";3716;11,9;21,22395415;39,15;10,24738912;0
"21";3717;10,8;22,74944344;36,1;11,88464899;0
"22";3718;9,7;24,10175075;34,77;10,5719413;0
"23";3719;10,3;22,16759849;34,99;6,092804257;0
"24";3720;9;23,70280459;34,34;5,024684845;0
"25";3985;8,6;23,83192012;32,99;4,97065544;0
"26";3986;8,4;23,54145481;34,15;4,96650507;0
"27";3987;8;23,79179773;32,95;4,678528794;0
"28";3988;7,6;24,2268681;31,76;4,492940244;0
"29";3989;7,7;24,04882771;31,46;4,723176506;0
"30";3990;7;25,29511042;31,43;5,034572648;0,20552884
"31";3991;6,9;25,56551454;31,63;7,158427023;1,267427849
"32";3992;6,5;26,73949472;31,46;7,646987081;3,209134526
"33";3993;8,5;25,48778012;35,07;8,166543953;5,431189752
"34";3994;10,6;24,9816624;36,02;9,580744537;7,845252184
"35";3995;11,8;24,0459062;35,57;7,484473886;10,44681461
"36";3996;13,4;22,02853353;36,37;11,30056518;10,98677854
"37";3997;14,9;18,71138164;36,1;8,847367627;11,23197084
"38";3998;15,1;17,0622087;36,05;6,214517456;9,136117533
"39";3999;15,7;14,79323794;36,28;6,261619101;6,905949326
"40";4000;15,3;14,67412595;39,37;7,772312145;4,852463806
"41";4001;12,6;18,92703405;44,74;8,787117038;2,181490324
"42";4002;11,5;21,25493322;48,82;9,807519881;1,198918236
"43";4003;10,3;24,40741885;48,29;16,72627859;0,20552884
"44";4004;10,2;25,04727787;46,07;16,45903245;0
"45";4005;8,2;28,79281307;40,9;10,60187054;0
"46";4006;7,2;29,3724885;38,06;9,94054579;0
"47";4007;8;26,83980069;37,44;8,588774167;0
"48";4008;8,3;24,73549618;35,91;7,098977516;0
